stops_name,location
Hotel Kalisma KS Tubun,CJ
Hotel Mega Anggrek,WJ
Hotel Melawai,SJ
Hotel Mulia,CJ
Hotel Olive 1,T
Hotel Olive 2,T
Hutan Kota Srengseng,WJ
IBI-K 57,SJ
IGI,EJ
IRTI,CJ
ITC Cipulir,SJ
ITC Fatmawati,SJ
ITC Roxy,CJ
Ibik 57,SJ
Icon Residence,WJ
Imigrasi,SJ
Imigrasi Jakarta Timur,EJ
Imigrasi Jaktim 1,EJ
Imigrasi Jaktim 2,EJ
Imigrasi Kelas I Jaksel,SJ
Imperium,SJ
Indosiar,WJ
Institut Kesehatan Indonesia,NJ
Institut Teknologi Budi Utomo,EJ
Institut Teknologi Budi Utomo 1,EJ
Ir H Djuanda,D
Iskandar Muda,SJ
Islamic,T
Istiqlal,CJ
Istiqlal 1,CJ
JGC Indonesia,SJ
JIS,NJ
JORR,SJ
JPO Blok E,CJ
JPO Blok G,CJ
JPO Mandiri,CJ
JPO Timur Pondok Indah 1,SJ
Jagakarsa St. Lenteng Agung,SJ
Jagal 1,EJ
Jagal 2,EJ
Jaha,SJ
Jak Lingko Tanah Abang,CJ
Jak Lingko Tanah Abang 2,CJ
Jakarta Islamic Centre 2,NJ
Jakarta Islamic Hospital,EJ
Jamsostek Gatot Subroto,SJ
Janur Kuning Residence,NJ
Jasa Marga Cililitan 2,EJ
Jati Padang,SJ
Jati Padang 1,SJ
Jati Padang 2,SJ
Jatibening 1,B
Jatinegara Kaum Raya Bekasi,EJ
Jatinegara RS Premier,EJ
Jatinegara RS Primier 1,EJ
Jatinegara Timur,EJ
Jatipadang Raya,SJ
Jelambar,WJ
Jembatan BKT Pendidikan Raya 1,EJ
Jembatan Baru,WJ
Jembatan Besi,WJ
Jembatan Dua,WJ
Jembatan Gantung,WJ
Jembatan Item,NJ
Jembatan Kapuk Kamal PIS1,NJ
Jembatan Kayu Putih Selatan,EJ
Jembatan Kota Intan,WJ
Jembatan Merah,CJ
Jembatan Merah 1,SJ
Jembatan Muara Bahari,NJ
Jembatan Pantai Indah Utara 1,NJ
Jembatan Perempatan Cempaka Putih Timur,CJ
Jembatan Pesakih Semanan,WJ
Jembatan Pintu Satu,EJ
Jembatan Sapi Cilincing Bakti,NJ
Jembatan Serong,CJ
Jembatan St. Jayakarta,CJ
Jembatan Sungai Landak 1,NJ
Jembatan Taman Kota,WJ
Jembatan Tiga 2,NJ
Jembatan Tiga Arah Utara,NJ
Jiep 2,EJ
Jl. Marunda Makmur I,NJ
Jln. A Lagoa,NJ
Jln. AMD Manunggal V,SJ
Jln. Abdul Majid Raya,SJ
Jln. Acin Gaton,EJ
Jln. Adam Sukabumi Utara,WJ
Jln. Adiaksa II,SJ
Jln. Adil,EJ
Jln. Al Baidho 1,EJ
Jln. Al Falah Duri Kosambi,WJ
Jln. Al Hidayah Balekambang,EJ
Jln. Al Hidayah Basmol,WJ
Jln. Al Islamiyah Grogol Selatan,SJ
Jln. Alhidayah III,EJ
Jln. Ampera VI Gunung Sahari,NJ
Jln. Ancol Barat 1,NJ
Jln. Ancol Barat 6,NJ
Jln. Andara Raya,D
Jln. Aneka Elok 2,EJ
Jln. Anggrek Cililitan,EJ
Jln. Anggrek Jagakarsa,SJ
Jln. Anggrek Petukangan,SJ
Jln. Anggrek Raya,EJ
Jln. Anggrek Srengseng,WJ
Jln. Angkasa 1,CJ
Jln. Angkasa Bundaran Kemayoran,CJ
Jln. Angsana Kemanggisan,WJ
Jln. Ar Ridho,EJ
Jln. Arus Jati,EJ
Jln. Aselih,SJ
Jln. Asmin 2,EJ
Jln. Asshofa Raya,WJ
Jln. B,NJ
Jln. B Basmol Raya,WJ
Jln. B Karang Anyar,CJ
Jln. B Lagoa Terusan 2,NJ
Jln. BB Utara,NJ
Jln. Bacang Lubang Buaya,EJ
Jln. Bahari Raya 1,NJ
Jln. Bahari Raya 2,NJ
Jln. Bakti,B
Jln. Balai Kimia,EJ
Jln. Bambu Hubuny,EJ
Jln. Bambu Kuning,EJ
Jln. Bandengan Utara 1,WJ
Jln. Bangka I,SJ
Jln. Banjarsari II,SJ
Jln. Barito II,SJ
Jln. Barkah III Manggarai Selatan,SJ
Jln. Baros,SJ
Jln. Baru Tanah Merdeka,EJ
Jln. Batang Hari Cideng Barat,CJ
Jln. Batas II Baru,EJ
Jln. Batu Permata V,EJ
Jln. Batu Tulis II,EJ
Jln. Batu Tumbuh,EJ
Jln. Batu Tumbuh I,NJ
Jln. Bawal Raya Paus,EJ
Jln. Bekasi Timur I Jatinegara,EJ
Jln. Bekasi Timur VI,EJ
Jln. Belanak II Rawamangun,EJ
Jln. Belanak III Rawamangun,EJ
